category,price,quantity,delivery_status,payment_method,device_type,channel,customer_segment,shipping_delay_days,order_month,order_day,order_dayofweek,order_hour,shipping_month,shipping_day,shipping_dayofweek,shipping_hour,is_weekend_order,shipping_city,shipping_state,billing_city,billing_state,product_popularity
Toys,326.15,1,Delivered,PayPal,Mobile,Organic,New,5.0,6,11,1,14,6,16,6,14,0,South Victoria,New Mexico,New Daniel,New Mexico,13
Home,223.7,2,Shipped,Debit Card,Tablet,Email,VIP,4.0,6,11,1,14,6,15,5,14,0,Rogersside,Iowa,Brownshire,Nevada,8
Toys,153.14,2,Delivered,Debit Card,Mobile,Paid Search,New,4.0,6,11,1,14,6,15,5,14,0,Tonyatown,West Virginia,Davenportland,Delaware,7
Beauty,373.62,2,Returned,Debit Card,Tablet,Paid Search,VIP,3.0,6,12,2,14,6,15,5,14,0,Chadmouth,South Carolina,West Brandyland,Tennessee,15
Clothing,118.97,1,Delivered,Debit Card,Mobile,Organic,Returning,5.0,6,12,2,14,6,17,0,14,0,East Cindy,Alaska,Fitzgeraldton,West Virginia,9
Toys,95.12,1,Delivered,Credit Card,Mobile,Organic,Returning,4.0,6,12,2,14,6,16,6,14,0,Savageside,Virginia,Hernandeztown,Ohio,15
Books,420.21,4,Delivered,PayPal,Tablet,Social,VIP,5.0,6,12,2,14,6,17,0,14,0,Estradashire,Wisconsin,Masonborough,South Dakota,16
Electronics,495.7,4,Delivered,Apple Pay,Mobile,Organic,VIP,6.0,6,12,2,14,6,18,1,14,0,Williamshaven,North Carolina,Meyerberg,Colorado,8
Home,472.35,1,Delivered,PayPal,Desktop,Organic,VIP,5.0,6,12,2,14,6,17,0,14,0,East Juliamouth,Tennessee,Amyfort,Nevada,13
Electronics,397.99,6,Shipped,Apple Pay,Tablet,Paid Search,Returning,5.0,6,12,2,14,6,17,0,14,0,West Andrea,Massachusetts,New Scott,Florida,13
Home,239.89,1,Delivered,Google Pay,Tablet,Email,VIP,2.0,6,12,2,14,6,14,4,14,0,Port Douglasburgh,Indiana,Willisfurt,Wisconsin,12
Toys,473.36,2,Delivered,Debit Card,Tablet,Paid Search,Returning,2.0,6,12,2,14,6,14,4,14,0,Scotthaven,Alabama,Lake Rhondamouth,North Dakota,12
Electronics,285.08,1,Shipped,Google Pay,Tablet,Social,VIP,5.0,6,12,2,14,6,17,0,14,0,South Aaron,Montana,West Connor,New Hampshire,12
Home,294.81,2,Shipped,Credit Card,Desktop,Organic,VIP,3.0,6,12,2,14,6,15,5,14,0,North Cynthia,Virginia,North Tylerside,Michigan,12
Toys,97.69,2,Delivered,Apple Pay,Desktop,Paid Search,VIP,3.0,6,12,2,14,6,15,5,14,0,Dennisstad,Oklahoma,New Marilyn,Alaska,11
Home,366.17,1,Returned,Google Pay,Mobile,Organic,VIP,3.0,6,12,2,14,6,15,5,14,0,Adamsmouth,New Hampshire,Williamsland,Maine,17
Home,397.71,1,Delivered,Google Pay,Tablet,Email,Returning,7.0,6,12,2,14,6,19,2,14,0,South Brenda,Colorado,Johnsonborough,Arizona,9
Electronics,343.37,4,Delivered,Apple Pay,Desktop,Organic,New,7.0,6,12,2,14,6,19,2,14,0,East Victorville,Pennsylvania,South Reginaldbury,Maryland,8
Toys,268.75,3,Delivered,Debit Card,Tablet,Paid Search,Returning,1.0,6,12,2,14,6,13,3,14,0,South Danielle,Mississippi,Aaronborough,South Dakota,6
Toys,103.78,1,Delivered,Credit Card,Tablet,Organic,Returning,7.0,6,12,2,14,6,19,2,14,0,North Sylviachester,Oregon,South Chelseaton,Pennsylvania,8
Clothing,164.05,1,Shipped,PayPal,Mobile,Organic,Returning,2.0,6,12,2,14,6,14,4,14,0,Kimberlymouth,Virginia,West Danahaven,Texas,9
Electronics,442.18,2,Delivered,Apple Pay,Tablet,Social,Returning,2.0,6,12,2,14,6,14,4,14,0,Ellenberg,Utah,Stephaniemouth,Nebraska,10
Home,57.74,2,Delivered,Credit Card,Tablet,Paid Search,VIP,5.0,6,12,2,14,6,17,0,14,0,Michaelmouth,Oregon,Smithborough,Minnesota,10
Clothing,496.0,1,Pending,PayPal,Desktop,Social,VIP,3.0,6,12,2,14,6,15,5,14,0,West Patricia,Kentucky,East Matthewberg,Missouri,11
Toys,374.09,1,Pending,Google Pay,Tablet,Paid Search,Returning,7.0,6,12,2,14,6,19,2,14,0,Randolphside,North Dakota,Andreborough,South Carolina,9
Toys,366.14,5,Shipped,Google Pay,Desktop,Paid Search,Returning,7.0,6,12,2,14,6,19,2,14,0,Mckenzieville,Alaska,Port Kevinstad,Texas,10
Home,368.36,3,Delivered,Debit Card,Desktop,Email,VIP,4.0,6,12,2,14,6,16,6,14,0,Adrianborough,Idaho,Philiphaven,Rhode Island,11
Beauty,393.65,2,Shipped,Credit Card,Desktop,Paid Search,VIP,1.0,6,12,2,14,6,13,3,14,0,Kevinborough,Virginia,South Paulamouth,South Dakota,11
Clothing,428.05,1,Delivered,Apple Pay,Desktop,Email,Returning,4.0,6,13,3,14,6,17,0,14,0,East Amanda,Tennessee,Lake Mitchell,Maine,11
Beauty,22.28,1,Delivered,Apple Pay,Desktop,Organic,Returning,1.0,6,13,3,14,6,14,4,14,0,Bonnieside,New York,Lake Brianmouth,Illinois,8
Books,328.39,2,Returned,Google Pay,Mobile,Email,VIP,6.0,6,13,3,14,6,19,2,14,0,Acostaside,Vermont,Erinhaven,Oregon,6
Electronics,312.52,4,Delivered,Google Pay,Tablet,Email,VIP,1.0,6,13,3,14,6,14,4,14,0,Jasminetown,Ohio,West Miranda,Montana,8
Electronics,47.49,1,Delivered,PayPal,Desktop,Organic,Returning,7.0,6,13,3,14,6,20,3,14,0,Lake Teresaport,Alaska,Parkerside,Hawaii,9
Toys,441.13,1,Delivered,Debit Card,Tablet,Social,VIP,3.0,6,13,3,14,6,16,6,14,0,Andreaberg,Utah,Sotobury,Mississippi,9
Clothing,43.71,1,Delivered,Credit Card,Mobile,Social,VIP,1.0,6,13,3,14,6,14,4,14,0,Rodriguezhaven,New Mexico,East Justin,South Carolina,12
Home,425.4,4,Delivered,Debit Card,Tablet,Paid Search,Returning,5.0,6,13,3,14,6,18,1,14,0,Davidville,Illinois,Marksbury,Louisiana,21
Beauty,401.84,2,Shipped,Credit Card,Desktop,Organic,VIP,4.0,6,13,3,14,6,17,0,14,0,South Karenville,Michigan,Port Alyssamouth,West Virginia,8
Electronics,473.14,1,Delivered,Credit Card,Tablet,Social,Returning,1.0,6,13,3,14,6,14,4,14,0,North Angela,Nebraska,Sandraville,Idaho,8
Electronics,298.12,1,Delivered,Credit Card,Desktop,Organic,VIP,5.0,6,13,3,14,6,18,1,14,0,East Benjaminbury,Vermont,Davisland,South Carolina,9
Electronics,84.25,2,Returned,Google Pay,Mobile,Organic,VIP,4.0,6,13,3,14,6,17,0,14,0,North Cynthia,Arizona,Lake Tiffanychester,Maryland,15
Electronics,275.89,1,Delivered,PayPal,Desktop,Paid Search,Returning,5.0,6,13,3,14,6,18,1,14,0,New Tracy,Tennessee,Coryberg,Utah,21
Books,374.64,1,Shipped,Apple Pay,Desktop,Organic,VIP,3.0,6,13,3,14,6,16,6,14,0,Michaelville,Idaho,Melanieport,Maine,13
Books,311.27,1,Pending,Credit Card,Mobile,Paid Search,Returning,7.0,6,13,3,14,6,20,3,14,0,Lake Patrick,Oregon,Melissastad,Ohio,12
Books,52.29,3,Delivered,PayPal,Tablet,Social,Returning,7.0,6,13,3,14,6,20,3,14,0,New Theresaside,South Dakota,North Kenneth,Ohio,11
Beauty,93.17,2,Delivered,Google Pay,Desktop,Paid Search,VIP,5.0,6,13,3,14,6,18,1,14,0,Jonathanview,South Carolina,North Davidhaven,Utah,10
Home,218.46,2,Delivered,Apple Pay,Mobile,Organic,New,4.0,6,13,3,14,6,17,0,14,0,Gregorymouth,Pennsylvania,Wellston,West Virginia,12
Toys,261.56,3,Shipped,Google Pay,Desktop,Paid Search,New,5.0,6,13,3,14,6,18,1,14,0,Lake Nathanielfort,Massachusetts,Markburgh,Arizona,12
Toys,116.71,2,Delivered,Google Pay,Desktop,Email,VIP,6.0,6,13,3,14,6,19,2,14,0,South Vanessa,New Hampshire,New Danielleton,Nevada,14
Clothing,126.99,1,Shipped,Debit Card,Desktop,Organic,Returning,1.0,6,13,3,14,6,14,4,14,0,South Justinchester,Virginia,Paulside,Indiana,10
Toys,356.14,1,Shipped,PayPal,Mobile,Social,VIP,1.0,6,13,3,14,6,14,4,14,0,Johnsview,North Dakota,Wallborough,Iowa,13
Clothing,486.72,1,Delivered,Credit Card,Desktop,Organic,VIP,3.0,6,13,3,14,6,16,6,14,0,South Bobby,Vermont,Martinton,Kansas,11
Home,388.98,2,Shipped,Credit Card,Mobile,Paid Search,Returning,2.0,6,13,3,14,6,15,5,14,0,Christensenfurt,Delaware,Richardside,Washington,14
Home,311.2,2,Delivered,Google Pay,Mobile,Organic,VIP,2.0,6,14,4,14,6,16,6,14,0,Port Matthewfurt,Illinois,Ramirezport,Tennessee,19
Books,476.15,2,Delivered,Credit Card,Tablet,Social,Returning,2.0,6,14,4,14,6,16,6,14,0,Cameronmouth,Missouri,Tommyberg,Washington,17
Beauty,393.82,4,Shipped,Google Pay,Mobile,Email,New,2.0,6,14,4,14,6,16,6,14,0,Lewisfort,Utah,North Megan,Rhode Island,13
Toys,465.3,1,Shipped,Apple Pay,Mobile,Organic,VIP,6.0,6,14,4,14,6,20,3,14,0,Coreyhaven,Alaska,Suzannebury,Missouri,11
Beauty,121.91,1,Delivered,Credit Card,Desktop,Email,Returning,3.0,6,14,4,14,6,17,0,14,0,Gonzalezview,New Mexico,East Benjaminville,Maryland,15
Clothing,168.12,3,Delivered,Credit Card,Desktop,Organic,Returning,2.0,6,14,4,14,6,16,6,14,0,Hoodville,Nevada,North Lindsay,Mississippi,10
Books,440.83,1,Delivered,Credit Card,Tablet,Email,New,3.0,6,14,4,14,6,17,0,14,0,Kennethfurt,Maryland,New David,Oklahoma,9
Beauty,329.65,1,Delivered,Apple Pay,Mobile,Email,VIP,6.0,6,14,4,14,6,20,3,14,0,South Rebekah,Utah,Port Michael,Delaware,6
Books,261.85,2,Delivered,Debit Card,Tablet,Email,VIP,5.0,6,14,4,14,6,19,2,14,0,New Bobbytown,Georgia,West Mariabury,Oregon,13
Books,153.4,5,Delivered,Google Pay,Mobile,Email,Returning,2.0,6,14,4,14,6,16,6,14,0,Anthonyport,South Dakota,Lake Jeffreyberg,Maryland,6
Beauty,16.14,2,Returned,Google Pay,Tablet,Organic,New,5.0,6,14,4,14,6,19,2,14,0,Petersberg,Maryland,Port Sara,Tennessee,11
Books,379.27,4,Pending,PayPal,Mobile,Social,VIP,5.0,6,14,4,14,6,19,2,14,0,Micheleburgh,Indiana,Nashfurt,Texas,5
Electronics,399.78,1,Delivered,PayPal,Desktop,Paid Search,VIP,6.0,6,14,4,14,6,20,3,14,0,Dakotahaven,Florida,East Karen,Iowa,16
Beauty,172.86,2,Shipped,Apple Pay,Desktop,Social,Returning,1.0,6,14,4,14,6,15,5,14,0,New Frank,Washington,North Kelly,Iowa,13
Home,23.22,5,Delivered,Google Pay,Desktop,Email,VIP,7.0,6,14,4,14,6,21,4,14,0,Lake Erica,Colorado,Port Williamshire,Iowa,7
Clothing,478.1,1,Delivered,Google Pay,Mobile,Paid Search,VIP,5.0,6,14,4,14,6,19,2,14,0,West William,Indiana,North Deanna,New Hampshire,8
Electronics,321.9,1,Delivered,Credit Card,Tablet,Social,Returning,4.0,6,14,4,14,6,18,1,14,0,East Christina,Montana,Thomasfort,Kansas,10
Books,457.97,1,Delivered,Credit Card,Mobile,Organic,Returning,4.0,6,14,4,14,6,18,1,14,0,Josephshire,Wisconsin,Bernardbury,Iowa,18
Clothing,196.03,2,Delivered,PayPal,Tablet,Social,VIP,4.0,6,14,4,14,6,18,1,14,0,South Pamela,Rhode Island,East Kevinfurt,Minnesota,8
Electronics,16.52,2,Delivered,Apple Pay,Desktop,Organic,VIP,4.0,6,14,4,14,6,18,1,14,0,Traceyfort,Indiana,Port Tyler,Indiana,8
Home,272.56,3,Delivered,PayPal,Desktop,Social,Returning,6.0,6,14,4,14,6,20,3,14,0,Bridgetstad,Florida,Cindyfort,Oklahoma,13
Beauty,171.61,2,Delivered,Credit Card,Tablet,Email,Returning,1.0,6,14,4,14,6,15,5,14,0,Mitchellburgh,Rhode Island,New Zacharyport,New Mexico,10
Toys,279.24,2,Delivered,Apple Pay,Tablet,Organic,VIP,7.0,6,14,4,14,6,21,4,14,0,Lake Michaelville,New York,Lake Howard,Alaska,11
Toys,396.06,1,Delivered,Google Pay,Tablet,Paid Search,VIP,7.0,6,14,4,14,6,21,4,14,0,Bakerstad,Delaware,West Taylorville,New Hampshire,16
Electronics,423.71,1,Delivered,Debit Card,Tablet,Organic,Returning,3.0,6,14,4,14,6,17,0,14,0,New Ericchester,Rhode Island,Davidborough,Idaho,8
Books,228.05,4,Delivered,PayPal,Desktop,Social,VIP,1.0,6,14,4,14,6,15,5,14,0,Martinchester,New York,Lake Randy,Idaho,11
Clothing,89.67,3,Pending,Credit Card,Tablet,Social,New,5.0,6,14,4,14,6,19,2,14,0,North Kevin,Missouri,Johnborough,Maryland,14
Home,60.14,2,Shipped,Google Pay,Mobile,Organic,VIP,5.0,6,15,5,14,6,20,3,14,1,Colleenton,Wisconsin,Garciastad,Vermont,8
Home,168.77,1,Delivered,Google Pay,Desktop,Email,Returning,5.0,6,15,5,14,6,20,3,14,1,West John,New York,New Paul,Arkansas,11
Electronics,437.01,2,Delivered,Debit Card,Desktop,Social,VIP,5.0,6,15,5,14,6,20,3,14,1,Stonemouth,Michigan,South Dorisburgh,New Jersey,14
Home,361.48,4,Shipped,Google Pay,Desktop,Social,VIP,1.0,6,15,5,14,6,16,6,14,1,Lake Carlosside,Hawaii,South Kyleborough,Oklahoma,17
Home,477.01,1,Shipped,PayPal,Desktop,Social,Returning,4.0,6,15,5,14,6,19,2,14,1,Pearsonstad,Delaware,Roymouth,Idaho,7
Electronics,118.3,3,Delivered,Debit Card,Tablet,Email,Returning,4.0,6,15,5,14,6,19,2,14,1,Lake Christopherton,Vermont,Jenniferbury,Maryland,11
Beauty,6.39,3,Delivered,Debit Card,Desktop,Email,Returning,5.0,6,15,5,14,6,20,3,14,1,Lake Stacy,North Dakota,Port Amy,Mississippi,19
Home,260.62,4,Shipped,Debit Card,Desktop,Paid Search,Returning,7.0,6,15,5,14,6,22,5,14,1,Andersonville,Louisiana,Masseyview,Delaware,10
Electronics,219.79,5,Delivered,Credit Card,Mobile,Organic,VIP,2.0,6,15,5,14,6,17,0,14,1,Millerstad,Kansas,Phillipsville,South Carolina,13
Books,294.44,2,Shipped,Apple Pay,Mobile,Paid Search,VIP,1.0,6,15,5,14,6,16,6,14,1,East Stephenview,Arkansas,East Michaelstad,Louisiana,8
Electronics,98.76,1,Delivered,Debit Card,Tablet,Social,Returning,2.0,6,15,5,14,6,17,0,14,1,East Tonyton,Wyoming,Pattychester,Maryland,9
Home,469.77,1,Delivered,PayPal,Desktop,Paid Search,VIP,4.0,6,15,5,14,6,19,2,14,1,Harrisport,Montana,North Josephfort,Delaware,7
Home,253.0,3,Delivered,PayPal,Desktop,Social,VIP,4.0,6,15,5,14,6,19,2,14,1,West Scottchester,Wyoming,North Alicia,Hawaii,8
Electronics,100.02,1,Delivered,Apple Pay,Tablet,Paid Search,Returning,5.0,6,15,5,14,6,20,3,14,1,Gutierrezburgh,Idaho,Jefferymouth,Ohio,14
Beauty,498.15,1,Delivered,Debit Card,Mobile,Organic,VIP,7.0,6,15,5,14,6,22,5,14,1,Jefferyberg,Mississippi,Courtneyshire,Georgia,10
Books,407.71,3,Delivered,Google Pay,Desktop,Social,VIP,4.0,6,15,5,14,6,19,2,14,1,North Brendabury,Virginia,Rhondashire,Montana,15
Home,368.05,2,Delivered,Google Pay,Tablet,Social,VIP,6.0,6,15,5,14,6,21,4,14,1,Port Melissaborough,South Dakota,Yangville,New York,15
Books,450.05,1,Delivered,Apple Pay,Desktop,Paid Search,Returning,3.0,6,15,5,14,6,18,1,14,1,Millerbury,Texas,Duranton,South Carolina,8
Clothing,259.42,2,Delivered,Google Pay,Tablet,Email,VIP,2.0,6,15,5,14,6,17,0,14,1,West Alexandria,Oklahoma,Port Alexland,Rhode Island,15
Books,30.21,1,Delivered,Debit Card,Mobile,Email,Returning,3.0,6,15,5,14,6,18,1,14,1,Ericburgh,California,Heatherport,New Mexico,8
Electronics,62.73,2,Delivered,Google Pay,Desktop,Email,Returning,4.0,6,15,5,14,6,19,2,14,1,Jenniferport,Wisconsin,New Dianafurt,Mississippi,13
Home,46.1,1,Delivered,Debit Card,Tablet,Organic,VIP,7.0,6,15,5,14,6,22,5,14,1,Muellerfurt,Colorado,Hernandezside,Missouri,15
Books,234.68,3,Delivered,Google Pay,Tablet,Email,VIP,3.0,6,15,5,14,6,18,1,14,1,New Sally,Montana,North Kimberly,Florida,11
Home,331.11,2,Delivered,Apple Pay,Desktop,Organic,Returning,3.0,6,15,5,14,6,18,1,14,1,Taylorland,Missouri,West Andreaport,Arizona,11
Beauty,108.2,2,Delivered,Credit Card,Desktop,Paid Search,Returning,4.0,6,16,6,14,6,20,3,14,1,New Alexisland,Oklahoma,Cervantesfurt,Nevada,13
Electronics,313.3,1,Delivered,Google Pay,Desktop,Paid Search,VIP,6.0,6,16,6,14,6,22,5,14,1,West Kevin,New Jersey,Robertsside,Oregon,12
Beauty,207.72,2,Pending,Google Pay,Desktop,Social,VIP,7.0,6,16,6,14,6,23,6,14,1,East Jacquelinestad,New Hampshire,West James,South Carolina,13
Clothing,451.5,3,Delivered,Apple Pay,Tablet,Paid Search,VIP,5.0,6,16,6,14,6,21,4,14,1,New Jessicaton,Nevada,Debraberg,Mississippi,13
Clothing,296.7,2,Delivered,Apple Pay,Mobile,Organic,Returning,4.0,6,16,6,14,6,20,3,14,1,West Timothy,Virginia,Nicoleberg,Utah,10
Toys,459.49,1,Shipped,PayPal,Tablet,Email,Returning,3.0,6,16,6,14,6,19,2,14,1,Josephfurt,Connecticut,Woodport,West Virginia,10
Toys,333.01,1,Delivered,PayPal,Desktop,Social,Returning,4.0,6,16,6,14,6,20,3,14,1,Wadetown,New Jersey,Hillchester,Louisiana,16
Toys,178.98,2,Delivered,Debit Card,Tablet,Email,VIP,4.0,6,16,6,14,6,20,3,14,1,New Brettbury,New York,Courtneyburgh,Rhode Island,18
Toys,77.51,1,Delivered,Credit Card,Mobile,Paid Search,New,3.0,6,16,6,14,6,19,2,14,1,Munoztown,Delaware,Yvonneside,North Carolina,12
Home,207.93,4,Shipped,Debit Card,Desktop,Email,VIP,2.0,6,16,6,14,6,18,1,14,1,Lake Nicole,Delaware,Hernandezhaven,Tennessee,9
Toys,320.84,1,Shipped,Debit Card,Mobile,Paid Search,VIP,5.0,6,16,6,14,6,21,4,14,1,South Brady,Tennessee,Janetville,Texas,10
Clothing,80.46,4,Delivered,Credit Card,Desktop,Email,VIP,4.0,6,16,6,14,6,20,3,14,1,Gardnerside,Nevada,Lewismouth,Florida,12
Electronics,373.12,2,Delivered,Google Pay,Mobile,Organic,VIP,3.0,6,16,6,14,6,19,2,14,1,Holmesburgh,Arizona,West Loriland,Missouri,9
Books,353.81,4,Shipped,Debit Card,Tablet,Paid Search,VIP,5.0,6,16,6,14,6,21,4,14,1,Cochranbury,Iowa,West Adamburgh,California,11
Beauty,170.53,3,Delivered,Credit Card,Tablet,Organic,Returning,2.0,6,16,6,14,6,18,1,14,1,Cooperberg,Texas,Martinezfurt,Mississippi,5
Beauty,228.0,2,Delivered,Debit Card,Mobile,Email,New,7.0,6,16,6,14,6,23,6,14,1,Lake Jeffreytown,Georgia,Shannonton,Washington,8
Clothing,326.89,2,Returned,Credit Card,Mobile,Organic,VIP,6.0,6,16,6,14,6,22,5,14,1,West Paulbury,Texas,Colleenmouth,North Dakota,6
Home,431.37,5,Delivered,Google Pay,Mobile,Paid Search,New,3.0,6,16,6,14,6,19,2,14,1,Mendozaton,Kansas,Port Andrew,Indiana,19
Toys,161.32,3,Delivered,PayPal,Tablet,Organic,Returning,3.0,6,16,6,14,6,19,2,14,1,Markton,New Hampshire,Angelaburgh,Tennessee,13
Toys,189.8,1,Delivered,Debit Card,Tablet,Organic,VIP,4.0,6,16,6,14,6,20,3,14,1,Underwoodberg,Maryland,Garciafurt,Ohio,17
Toys,423.86,2,Shipped,Debit Card,Desktop,Organic,Returning,1.0,6,16,6,14,6,17,0,14,1,Andrewshire,Oregon,Campbellland,Alabama,7
Clothing,176.23,2,Delivered,Apple Pay,Tablet,Paid Search,Returning,1.0,6,16,6,14,6,17,0,14,1,North Thomaston,New Mexico,North Jonathan,Nebraska,14
Toys,468.32,2,Shipped,Apple Pay,Desktop,Social,VIP,1.0,6,16,6,14,6,17,0,14,1,Nicholasshire,Oklahoma,West Regina,Missouri,10
Clothing,210.2,1,Delivered,Apple Pay,Desktop,Organic,VIP,4.0,6,16,6,14,6,20,3,14,1,East Megan,Nebraska,Heathertown,Missouri,11
Clothing,379.02,1,Delivered,Debit Card,Desktop,Social,Returning,6.0,6,16,6,14,6,22,5,14,1,Lake Joseph,Alabama,New Thomas,Louisiana,11
Beauty,191.22,2,Delivered,Google Pay,Tablet,Organic,Returning,4.0,6,16,6,14,6,20,3,14,1,Wrightville,Idaho,Lake Jamie,Alaska,9
Toys,437.64,2,Delivered,PayPal,Desktop,Social,Returning,5.0,6,17,0,14,6,22,5,14,0,Robinport,Maine,West Richard,Missouri,12
Books,408.37,1,Delivered,PayPal,Tablet,Email,VIP,4.0,6,17,0,14,6,21,4,14,0,New Jonathanton,Washington,Cookport,Washington,10
Toys,483.37,3,Delivered,Credit Card,Mobile,Email,VIP,1.0,6,17,0,14,6,18,1,14,0,Kevinbury,Tennessee,South James,Missouri,5
Toys,476.18,2,Delivered,Google Pay,Mobile,Organic,VIP,6.0,6,17,0,14,6,23,6,14,0,West Angelashire,Arizona,South Kelly,West Virginia,14
Clothing,127.75,1,Delivered,Apple Pay,Mobile,Paid Search,Returning,7.0,6,17,0,14,6,24,0,14,0,East Margaretchester,Florida,Wrightside,Minnesota,4
Clothing,292.83,2,Shipped,Google Pay,Mobile,Paid Search,Returning,1.0,6,17,0,14,6,18,1,14,0,Deanville,Iowa,North Glenn,Virginia,12
Home,274.73,3,Delivered,PayPal,Tablet,Organic,VIP,6.0,6,17,0,14,6,23,6,14,0,Lake Jeffrey,New Mexico,South Lynnburgh,New Jersey,10
Beauty,33.93,1,Delivered,Credit Card,Tablet,Paid Search,VIP,1.0,6,17,0,14,6,18,1,14,0,Lake Melody,Maine,West Melinda,Massachusetts,12
Electronics,457.58,1,Delivered,Apple Pay,Mobile,Email,VIP,1.0,6,17,0,14,6,18,1,14,0,Nicholsonborough,Kentucky,New William,New Hampshire,4
Beauty,310.44,1,Delivered,Debit Card,Mobile,Paid Search,Returning,6.0,6,17,0,14,6,23,6,14,0,Port Samanthaberg,Nevada,East Paul,Nebraska,10
Beauty,233.37,1,Shipped,Google Pay,Desktop,Paid Search,VIP,1.0,6,17,0,14,6,18,1,14,0,New Rachelshire,Wisconsin,South Matthew,Minnesota,9
Home,131.44,1,Shipped,Google Pay,Mobile,Organic,Returning,6.0,6,17,0,14,6,23,6,14,0,East Kennethstad,Mississippi,Suzannebury,West Virginia,7
Electronics,154.53,1,Shipped,Debit Card,Tablet,Social,VIP,2.0,6,17,0,14,6,19,2,14,0,Allenland,California,Newmanport,Illinois,9
Electronics,13.81,3,Delivered,Apple Pay,Desktop,Paid Search,Returning,7.0,6,17,0,14,6,24,0,14,0,Hannamouth,Michigan,Hamiltonfort,Indiana,7
Beauty,199.46,1,Pending,PayPal,Mobile,Organic,VIP,2.0,6,17,0,14,6,19,2,14,0,Cunninghamborough,Wyoming,Ramirezport,Utah,9
Toys,86.84,2,Pending,Google Pay,Desktop,Paid Search,VIP,7.0,6,17,0,14,6,24,0,14,0,East Nicoleshire,New York,Lake Lauren,Louisiana,13
Toys,190.44,1,Pending,PayPal,Mobile,Paid Search,VIP,1.0,6,17,0,14,6,18,1,14,0,North Christopherton,Connecticut,Port Sarah,Rhode Island,12
Toys,178.25,3,Delivered,Debit Card,Desktop,Social,VIP,4.0,6,17,0,14,6,21,4,14,0,Fisherburgh,Montana,Hartmanhaven,South Carolina,11
Clothing,451.03,1,Delivered,Google Pay,Desktop,Paid Search,VIP,4.0,6,17,0,14,6,21,4,14,0,North Brianfurt,Wyoming,Millerview,North Dakota,13
Electronics,401.28,1,Delivered,PayPal,Tablet,Organic,VIP,4.0,6,17,0,14,6,21,4,14,0,South Danielview,Nevada,Calebmouth,Nebraska,9
Home,357.29,1,Delivered,Credit Card,Mobile,Email,Returning,7.0,6,17,0,14,6,24,0,14,0,Lake Rachael,Michigan,North Biancastad,Maryland,13
Home,299.03,3,Shipped,Credit Card,Tablet,Email,VIP,5.0,6,17,0,14,6,22,5,14,0,Taylorland,Rhode Island,East Loriberg,New Mexico,7
Books,152.29,1,Delivered,Google Pay,Mobile,Email,Returning,7.0,6,17,0,14,6,24,0,14,0,West Kristinmouth,Missouri,East Jacob,Kansas,8
Beauty,206.26,1,Delivered,Google Pay,Tablet,Paid Search,Returning,4.0,6,17,0,14,6,21,4,14,0,Mejiachester,Alaska,Larryland,Missouri,15
Electronics,419.35,2,Shipped,Credit Card,Tablet,Email,VIP,3.0,6,17,0,14,6,20,3,14,0,Lake Benjaminberg,Indiana,Wadefort,Alabama,12
Clothing,281.11,1,Delivered,Credit Card,Desktop,Paid Search,VIP,2.0,6,17,0,14,6,19,2,14,0,North Mariaport,Nevada,Makaylabury,Vermont,14
Toys,131.63,3,Shipped,Google Pay,Mobile,Social,VIP,6.0,6,17,0,14,6,23,6,14,0,Bellside,Wisconsin,Lake Nicolechester,Louisiana,11
Clothing,225.0,2,Shipped,Apple Pay,Mobile,Email,Returning,3.0,6,17,0,14,6,20,3,14,0,South Ginachester,Kentucky,West Dustin,New York,12
Toys,216.14,1,Delivered,Debit Card,Desktop,Paid Search,Returning,1.0,6,18,1,14,6,19,2,14,0,Taylorchester,Indiana,Lake Lisa,Ohio,10
Clothing,371.71,5,Delivered,Debit Card,Tablet,Social,VIP,7.0,6,18,1,14,6,25,1,14,0,East Debraburgh,Delaware,Apriltown,Pennsylvania,10
Beauty,472.96,1,Delivered,Debit Card,Desktop,Organic,Returning,1.0,6,18,1,14,6,19,2,14,0,South Samantha,Washington,Cartershire,Maine,12
Electronics,221.86,1,Delivered,Apple Pay,Tablet,Social,VIP,5.0,6,18,1,14,6,23,6,14,0,West Johnberg,New Mexico,New Janice,Nevada,11
Electronics,265.48,1,Delivered,Credit Card,Mobile,Email,VIP,3.0,6,18,1,14,6,21,4,14,0,North Erichaven,Connecticut,North Edwardborough,North Dakota,12
Electronics,414.31,2,Delivered,Google Pay,Tablet,Paid Search,VIP,5.0,6,18,1,14,6,23,6,14,0,Lauraside,Oklahoma,East Bridgetshire,Delaware,12
Electronics,336.8,1,Returned,Google Pay,Desktop,Paid Search,VIP,4.0,6,18,1,14,6,22,5,14,0,Alexandratown,Delaware,Barrettfort,New Hampshire,8
Beauty,40.55,3,Delivered,PayPal,Mobile,Email,VIP,6.0,6,18,1,14,6,24,0,14,0,South Manuel,Mississippi,Lake Steven,Kansas,8
Books,258.9,1,Shipped,Credit Card,Tablet,Social,VIP,1.0,6,18,1,14,6,19,2,14,0,Larryberg,North Carolina,Wilsonview,Hawaii,12
Toys,435.32,2,Delivered,Apple Pay,Mobile,Organic,Returning,3.0,6,18,1,14,6,21,4,14,0,Shannonside,Alaska,New Doris,New York,18
